REF. HESPERIA,cleaned
TE.02.341,['tau']
TE.02.342,['tikaḿi']
TE.02.344,['ua']
TE.02.345,['uba']
TE.02.346,['uba']
TE.02.347,['ls']
TE.02.348,['ls']
TE.02.349,['ns']
TE.02.350a,['sl']
TE.02.351,['śŕ']
TE.02.438,['abar']
TE.02.439,['an']
TE.02.440,['ati']
TE.02.441,['bai']
TE.02.442,['bal']
TE.02.443,['bar']
TE.02.445,['keŕ']
TE.02.446,['ol']
TE.02.447,['os']
TE.02.448,['si']
TE.02.449,['taba']
TE.02.450,['taś']
TE.02.451,['aa']
TE.02.452,['oa']
TE.02.453,['bakina']
TE.02.122,['bos']
TE.02.018b,['ko']
TE.02.024b,['abo']
TE.02.024c,['be']
TE.02.026b,['ke +']
TE.02.027b,['l']
TE.02.028b,['ḿ']
TE.02.029b,['l']
TE.02.039b,['si']
TE.02.040b,['ako']
TE.02.046b,['u']
TE.02.062b,['ota']
TE.02.063b,['i']
TE.02.063c,['bako']
TE.02.064b,['bai']
TE.02.064c,['l']
TE.02.065b,['to']
TE.02.066b,"['balte', '']"
TE.02.068b,['tan']
TE.02.074b,['tu']
TE.02.077b,['u']
TE.02.080b,['a']
TE.02.082b,['tan']
TE.02.085b,['bateba']
TE.02.089b,['tu']
TE.02.089c,['bati']
TE.02.091b,['tan']
TE.02.093b,['e']
TE.02.095b,"['belḿ', '']"
TE.02.102b,['il']
TE.02.105b,['ban']
TE.02.105c,['ba']
TE.02.116c,['bas']
TE.02.116b,['bokau']
TE.02.117b,['keka+']
TE.02.124c,['ki']
TE.02.124b,['r']
TE.02.128c,['be']
TE.02.128b,['ba']
TE.02.129B,['be']
TE.02.130b,['be']
TE.02.133b,['s']
TE.02.142c,['ta']
TE.02.142b,['nba']
TE.02.145b,['ken']
TE.02.153b,['+i']
TE.02.158b,['kuḿ']
TE.02.162b,['oŕ']
TE.02.162c,['oŕ']
TE.02.164b,['te']
TE.02.165b,['la']
TE.02.174b,['bo+']
TE.02.176b,['taŕ']
TE.02.180c,['s']
TE.02.180b,['ir']
TE.02.185d,['ś']
TE.02.185c,['ne']
TE.02.185b,['si']
TE.02.187b,['oto']
TE.02.198b,['ta']
TE.02.212b,['tata']
TE.02.213c,['tu']
TE.02.213b,['baboe']
TE.02.214b,['babo']
TE.02.215b,['be']
TE.02.219b,['tau']
TE.02.222c,['i']
TE.02.222b,['a']
TE.02.227b,['be']
TE.02.229b,['ŕ']
TE.02.230b,['be']
TE.02.231b,['i']
TE.02.241b,['++']
TE.02.245b,['ta']
TE.02.251d,['bo']
TE.02.251c,['baa']
TE.02.251b,['l']
TE.02.261b,['i']
TE.02.266b,['ltu']
TE.02.272b,['i']
TE.02.273b,['nḿ']
TE.02.276d,['bo']
TE.02.276c,['ba +']
TE.02.276b,['s']
TE.02.280c,['a +']
TE.02.280b,['l']
TE.02.281b,['a']
TE.02.282b,['ti+']
TE.02.282c,['+']
TE.02.283b,['tu']
TE.02.284b,['+']
TE.02.291b,['etaute']
TE.02.308b,['taŕ']
B.41.08,['toke+---']
TE.02.311b,['aŕ']
TE.02.312d,['tu']
TE.02.312c,['te']
TE.02.312b,['te']
TE.02.313b,['baboŕa']
TE.02.314b,['tatako+']
TE.02.315b,['iko']
TE.02.316d,['tebi']
TE.02.316c,['bate']
TE.02.316b,['beu']
TE.02.317b,['beiko']
TE.02.321b,['sś']
TE.02.322c,['biuŕtaneke']
TE.02.322b,['ako+ŕ+']
TE.02.325b,['ka']
V.06.003,['']
TE.02.330b,"['be', 'n I I', 'n I I I']"
TE.02.331b,['ss']
TE.02.340b,['tau']
TE.02.078b,['bas']
TE.02.194b,['A']
TE.02.208,['tan']
TE.02.332c,"['le', '']"
TE.02.462,['ai']
TE.02.463,['os']
TE.02.454,['abaio']
TE.02.455,['la']
TE.02.456,"['', 'ui', 'l']"
TE.02.464,['l']
TE.02.466,['ko ko']
TE.02.457,['al']
TE.02.458,['+:o']
TE.02.460,['+ui']
TE.02.086b,['bateba']
TE.02.285b,['tutu']
TE.02.465,['aboki']
SP.01.07,['++sin?le-binkor:iuśti?:tarbinbaleś:kooo:aŕakotaŕ-laŕ:aianetin?+talabin:ireba:aś?:sinbitai:aia-eia:boa:bíDkín:selkí:-eśeśanbiabiHkaŕes?en']
CS.02.02,['+ututer']
CS.02.03,['kike']
L.17.01,['-ŕtilakó:istikanir:ibeŕtaneś:oŕtin+keŕ']
MU.06.03,['+el']
AB.02.01,"['', '+biśba?is?ka?', '']"
T.06.11,['lauŕtao']
AB.01.01a,"['kokaŕ', 'karekar:se kí ?f ker:lukeśiŕ:akailtir ?f kerai:ir++riatuiaś', '']"
V.21.01,"['A', 'a tu-++aaki+--iitidioo', 'A', 'b ++bol', 'A', 'a', 'kigiúutodo---', 'A', 'a', 'ŕŕkigiúutodo+--', 'A', 'b', '+ga++++tadatedeeekugu', 'A', 'b', '+datatedeeetudukugu', '']"
AB.01.02,['aiberon:ebaaren : betiaŕ']
AB.01.03,['aitur kí nbetiaŕka']
AB.01.04,['aitur kí n : bitiaŕ']
AB.01.05,['koniltiraŕbitiaŕ']
AB.01.01b,['iltirtikeŕki:tibanin:kokaŕ']
AB.01.01c,['betiaŕinaŕ']
AB.01.01d,['aibeloraŕ:betiaŕ']
A.02.01,"['+ŕbinu+', 'teia++']"
A.02.02,['se']
AB.07.01,"['aiun', 'ikarbia']"
AB.07.02,"['śtulai', 'aen']"
V.17.01,[':? v rkibea']
SP.01.04,"['+ I I I o I I', 'ibeś --- o', 'I I I I kí I I I I ------- a', 'I I I I I I I ----- an+', 'aśota', 'a++ I I I I I I I ----', 'iŕ --- bi', '----- ikoil', 'a I o I']"
MU.05.01,['a+++kabire']
MU.04.01,"['iuntegen:e', 'sakaŕbeś:sos', 'lagutaś:kebes+', 'isgenus:andinue+', 'taŕikedelbabineditaŕke+s+---+ŕik', 'sabaŕbasdeŕik:bidedenedesbesanelas:', 'ikbaidesuisebartaśaŕtiduŕagunan', 'nela:ebanalbasusbeliginela', 'biandingorsanlenebarerbeigulnaŕerganikbos:']"
A.04.11,"['', 'n leis', 'n ś']"
AB.04.01,"['ati ?f uia+iskeunir:tinkan:berśtano+ ?f a', 'ś+sebatitaŕ:? itan+aŕ']"
A.06.01,['kuleśtileis']
A.06.02,['taŕtinskeŕ']
A.06.03,['+uki']
A.06.04,['si']
A.09.01,['toḿbaŕ']
A.09.02,['+i']
A.04.12,['gud+']
A.05.01,['balkar']
A.08.01,['+ldiŕtige+in']
A.08.02,['ninaŕen :']
A.08.03,['atal']
A.08.04,"['bal', 's']"
A.08.05,['leitigeur']
A.08.06,['aŕst']
A.08.07,['utiś']
A.08.08,['ito']
A.08.09,"['ia', 't']"
A.08.10,['ŕti+']
A.08.11a,['ai']
A.08.12,['ia']
A.08.13,['la']
A.08.14,['ta']
A.08.15,['ia']
A.08.11b,['saka']
A.08.16,['ś']
A.08.17,['ua']
A.08.18,['ag']
A.08.19,['s']
A.10.04a,['ACOS']
A.10.01,['ati+ŕiltirta']
A.10.02,[':kaiaka:']
A.10.04b,"['+LSAILACOS -', '- ELSADINI:COR -', 'ESCRAD---+ -']"
V.17.03,['auba']
V.17.04,['ina+']
V.17.02,"['', 'śeliŕ:ututa:baśiŕ:tarakar', 'nki', 'otalauki ? ?f ŕ:siel :?rikan', 'etaDŕeŕ:sosintikeŕka:nanban', 'baneśarikan :etaŕ urketiikeŕka:e ?f tiDŕ:laki', 'saltulakokia kí', 'n', 'berśiŕka kí', 'nartakerka kí', 'n? l ? śtautinka kí', 'nberśiŕka a o', 'n kí', 'n', 'biurtakerka kí', 'n?a Dltirka kí', 'nsaltulakokia kí', 'nsaltulakokia o', 'n', '? beronka kí', 'nberśiŕka o', 'nsakarbaśka kí', 'nberśiŕka ki', 'naituar kí kia kí', 'n', 'kaniberonka kí', 'nbiuriltirka kí', 'ns ? kelka kí', 'nbiurtakerka kí', 'naituar kí ki a kí', 'n']"
V.19.01a,"['ś:ar:ta', 'kobin++s+', '+tis++']"
V.19.01b,"['as:arbeiluś', 's+:ikonbe:aras', '++ :kaś++r:']"
A.04.04,"['uŕkeskeŕ:o', 'iltunbaŕa', 'ler:teŕki', 'n :iltiŕ']"
A.04.06a,"['sakalakúka:a I:o I kí I', 'sikétaneśka :o I I I I I I I I', '']"
A.04.01a,"['', 'iŕike:orti:gaŕokan:dadula:baśk:', 'buiśtiner:bagaŕok:sssX<:tuŕlbai', 'luŕa:leguśegik:baseŕokeiunbaida:', 'uŕke:basbidiŕbartin:iŕike:baseŕ', 'okar:tebind:belagaśikauŕ:isbin', 'ai:asgandis:tagisgaŕok:binike', 'bin:śalir:kidei:gaibigait:', 'sakaŕiskeŕ', 'arnai:']"
A.04.03,"['si+++++:++---+', 'baidesir:bilosg+', 'ŕe:biosildun']"
A.04.07,['ab--- v ilikeŕ']
A.04.08,"['iŕ', 'k', 'eŕe++', 'deloŕ+', 'toildi++', '+la++ŕna+', 'oikidiu', '+alega']"
A.04.06b,"['sakalakúka:e:kíbaskítar:o I I I I I I:kí I I', 'o I I I I I I I I', 'kí I kí I I', 'a I I I I I I']"
A.04.01b,"['iunstir:śalirg:basiŕtiŕ:sabaŕi', 'dai:birinaŕ:guŕś:boiśtingiśdid:', 'seśgeŕśduŕan:sesdiŕgadedin:', 'seŕaikala:naltinge:bidudenin:ildu', 'niŕaenai:bekoŕ:sebagediŕan']"
A.04.05,['basibeś:kaba']
AB.07.05a,['aitikeltunki:iunśtiŕ:bekor:salbitas:otiroketa:banota kí an']
AB.07.05b,['iskeriaŕ']
A.03.01,"['', 'ei-----bas', 'to----n tiŕte:iunstirika:s', 'tetena seiunstir+', 'iunstir:ban takitin:', 'biterokitin śinti', 'eaiŕitiunstir tin:ban', 'sabakiti', 'i---------i---:śalir', 'ŕti', 'iti', 'iba:isbini-----ke', 'sbaka']"
TE.05.06,['kutuInḿbaŕbianer']
TE.05.07,"['ośanbaśaruśtiŕ', '']"
TE.05.08,['aŕbiśaren']
TE.05.09,"['iltúrbilosenḿi', 'iŕ', 'to']"
TE.18.01,"['seltarbanḿi', 'bas--beŕuneni', 'bastobaśorenḿi', '--babe--berbee', 'ḿi']"
CS.22.01,['lkers']
T.04.01,['leibiuŕ']
CS.23.02,['ita']
V.04.59,"['i---', '---']"
AB.05.01,['biltiii']
TE.11.01,['a']
TE.11.30,['a']
TE.11.09,['ta']
TE.11.22,['to']
TE.11.03,['+ balti']
TE.11.28,['ban']
TE.11.21,['ton']
TE.11.20,"['ebaΛSΠIIIΙ', '']"
TE.11.17,['la']
TE.11.05,['lti']
TE.11.29,"['', 'o', 'ka', 'kika']"
TE.10.01,['batu']
Z.15.01,['aloŕ tikis']
Z.15.02,[':eka:']
Z.14.02,['boka I I I I']
TE.06.01,['oŕtintuḿbarsar']
TE.06.02,['+ebantin:kelsekite:iusti---tir:bankite']
TE.06.03,['kaikotekulsenkite:ś+']
TE.06.04,['tautinkonḿ']
TE.06.05,['lakueŕterḿi']
TE.06.06,"['lakeitor', 'ti', 'ti', 'lake']"
TE.06.07,['+lbi+']
TE.06.08,['ḿku']
TE.05.01,['eikeboŕenḿiekuan']
TE.05.02,['il']
TE.05.05,['bim']
TE.05.04,['arbiśkaŕ+']
TE.16.01,['bil']
TE.16.03,"['', 'uŕkeatinḿ+balkar kikalka', 'iltuneśkerkośkokaś+ iśaŕkatan']"
TE.19.01,['ikonḿkeiḿi iltubeleśeban']
TE.19.02,['ta+++++ŕḿi']
TE.19.03,['śḿi']
CS.05.01,['sakaŕbeta nḿi']
TE.15.01,['kalunseltar']
TE.14.01,['ukunban']
TE.11.23,"['kakiba', 'ta']"
TE.11.24,['ur']
TE.11.25,['aiunin']
TE.11.26,['śi']
TE.11.27,['kiba']
Z.16.01,"['ośortaŕbanen', 'siltariaribeŕ', 'ariŕebore tar++', 'eśabe']"
Z.16.02,"['tu', 'ŕkebe']"
SP.01.05,['aŕketuŕki :']
TE.09.01,['baŕkeiar']
TE.08.01,['niśtan']
TE.11.15,"['', 'n ban ka', 'n ta']"
TE.11.16,['ban']
V.22.01,['aŕkeikelbesteekiarte']
SP.01.06,"['tasbin:', 'tialtu']"
CS.03.01,['ŕśtólká']
CS.01.01,['--kośoŕtin']
CS.01.02,['taŕbanikoŕ ḿi']
CS.01.03,['sosintakeŕ']
CS.04.01,['+ekakeŕikoŕḿi']
CS.08.01,['nbataŕslakúśḿi']
CS.08.02,['kúleś']
CS.08.03,"['balabekon++', '']"
CS.11.01,"['iltiŕbikis:', 'en:seltar:', 'ḿi', '']"
CS.14.01,"['ḿbaŕtiaikís:abaŕieikíte:sinebetín:uŕkékéŕeŕe:auŕunibeikéai', 'astébeikéaie:ekáŕiu:atúniu:botuei:baitéskí:ekúsu:sosinbiuŕu', 'boŕbeŕoniu:kośoiu:baiteskí:beŕikaŕsense:ultítékeŕaikase:', 'aŕkitíker:aikas:balkébiuŕaies:baitésbaniekáŕse:']"
CS.18.01,"['', 'iunstir:beleśaiŕ:kaŕkośkar:bastaibaitieba:balkélakośka:bitetui:bar+', 'iunstir:ekiartone:beleśtar:senḿrun:etesilir:iunstir:etetur', 'śaner:buranalir:bitan:a+ vacat tauti+', 'vacat biten', 'balkélakú']"
CS.19.01,['se']
CS.21.03,"['biuŕtikí:túskítar:', 'a I o IIII:beleśbiŕeto', 'ŕosair:baitésir', 'kaeśakím']"
CS.21.04,"['', 'kaka', 'n', 'ban']"
CS.21.05,"['iŕe:bototaś:bitébakiŕśbane:baŕenḿliki:antinḿlitútúŕane:aŕikáŕ:sekén', 'iusu:atilebeiu:lauŕiskéŕkáté:banḿliŕbaitúŕane:káisanḿliŕbaitúŕa:nei', 'tailiniŕe:kútúr:bitéŕokététine:eŕatiaŕe:kókor:tauebartiaté:aŕikáŕbinḿlikise:', 'iunstirlakú:bototaśeai:selkéaibartúneai:unibeikéai:aneŕai:unibeikéai:iu', 'nstirlakú:uskéiké:bototiki:kéietisiaténse:uśtalarilune:banḿiŕeśu-', 'lu:bitiŕokébeténse:uśkéaneŕlati']"
CS.21.06,"['stir:atúne-nisoŕbarai:oŕtita+', '+iké:uskéiké:iustir:aneŕ:iustir:', 'tir:bototaśeiké:uskéiké:iustiraŕeli', '++ne:śalir:oŕkéiabaŕa--i', '++---++']"
CS.21.07,"['', '+:iunstir:atúne:baŕbinkéai:uskéiké:iunstir-+aŕ--', '+', ':bototaśeai:selkéaibartoneai:śanikéai:uskéiké:auŕuni', 'beikéai:aneŕai:śanibeiŕai:leitaśeai:bototaśté:bantakíkia', 'ŕatité:isai:iltúrsaiŕsai:aŕikaŕbinisai:borarnḿl', '++-aŕebinise:kálaisebakáŕatúŕane:itaŕartétaŕa:aśti', 'ebakáŕatúŕane:iunsirḿi:beleśakineai:káŕestareai', 'ton:bataŕatité:uskéikéai:siai:kéitiatélu:akíniŕté', 'se:iakikinuŕe:basiaukékú:kúŕsiaukéku', 'aŕine:itikéreutéti:belaiké:baseŕḿlbe+', 'aŕeŕe:kútúboiké:basbitéŕokétine:iŕiká:', 'iunstiriká:śelkiniustai:iunstir:baŕbin', 'uskéikéai:iunstir:lakúnḿiltiŕte:', 'atabeŕai:anḿbeŕai:uskéiké:iunstir']"
CS.21.08,"['', 'iskéniuská a II', 'kébelsilun--eikú', 'baitési:abars+riu', 'baŕstintiké+iu', 'sosinbelská:o III', 'kébelsilunin', 'bokú']"
CS.20.01,"['', '+eté :las+++asoŕtina', 'a']"
V.04.01,"['aŕe:take', 'aiunibaiseate', 'teban:a']"
V.04.02,"['leiske+', 'balkarkiebe', 'banekis:iŕa', '+']"
V.04.03,"['balkeatin:isbeta', 'ŕtiker:ebanen', 's---+--ikea']"
V.04.04,"[':ianbin:', 'bekon:e']"
V.04.05,['tiker:ebanen']
V.04.06,"['aŕetake:sikeun', 'ineban:neŕ', 'eiltun:+']"
V.04.07,"['isebel++', 'intebele+']"
V.04.09,"['lako+', '+:']"
V.04.10,"['olortikirsbe', 'ŕian:ḿitikirs', 'eni:eterintu']"
V.04.11,"['neŕseatin', 'balkeatin:e']"
V.04.12,"['nersiatin', 'balkeatintae']"
V.04.13,"['isbataŕis', 'sere+e+', '>IIIIeriri+']"
V.04.14,"['n:kate:talsko', '+ś :arḿi talsko', 'ḿise-ir+']"
V.04.15,"['luin', 'balken+', '++']"
V.04.16,['eiltul++']
V.04.17,['karbaniśkér']
V.04.18,['ebaiki']
V.04.19,['kilo']
V.04.20,['oŕ+']
V.04.21,['kie']
V.04.22,['la']
V.04.23,['la']
V.04.24,['uka']
V.04.25,['arskoŕoiteniśuniar']
V.04.47,['tébil']
V.04.49,['iltúbokontetu++ar']
V.04.27,"['eŕtoa', 'kaukoŕ']"
V.04.50,"['', '-uŕbokon---+', ':baisuka---esite---']"
V.04.28,"['', '+aś---bo++', 'aise:tanban', 'ŕsie:botu', 'i:aiunin', 'aneŕ', '+---++', 'n:borta', 'ŕ:banete']"
V.04.51,['ultibaisertékaukoŕ']
V.04.52,['uŕ']
V.06.005,['es: iŕbetu++ti+']
V.06.006,"['--+i biten', '---en', '+tita', '-ŕekataŕti', 'nḿuŕ--ti', 'ikasunin', 'kiŕ:inabaŕ-', 'eśkertiban-', 'biŕetaunin', 'bibakon:tiei+', 'LII']"
V.06.007,['']
V.06.008,"['', '+baserté:bonantíté:nḿbaŕte:bortébara:káŕesirteekiar:banité:kaŕ', '+irten', '+tín+', 'boi:ban', 'ekiar', 'n kaŕestabikíŕ', 'ebiŕtéekíar', 'olekáŕkóeki', 'oŕotis:', 'n káŕbi', 'bébér', 'bélar:ban:iŕ', 'ban iŕ', 'elbébébébébér tíbiserbaśtibaa', 'bankutúriŕaker', 'uŕkébas', 'taŕa', '+banḿibae: śai +nboutin']"
V.06.009,['ebiŕkiśaleikukitekial+-iŕkeiabaŕiekitenoŕakaŕkuta++ŕekirulkersibertekitete']
V.06.010,['bankuŕs:kaŕesbanite:ekiar:saltutibaite:iumstiŕ:toli--tane:basśumitatiniŕe']
V.06.011,['kiskeŕ:ekiar:bankebeŕeiḿbaŕ-:baltuśer:ban:']
V.06.012,"['ko--s', 'tuśerti', 'ai bas kuekiar', 'kemiekiar', 'tataŕ']"
V.06.013,['rbankusekiar:biuŕtite+---+besuninkuekiar ḿbaŕkuśbanḿbaŕkuś']
V.06.014,[':baltuśer:bante:kus+']
V.06.015,"['eŕiar:bankuŕs:aitulkikute:na+', '+tunika']"
V.06.016,['bitinba:baniteḿbaŕ:ban:eŕeiskoltur:niśunin++']
V.06.017,"['eŕieun', 'ne:benebetaner:iums', 'ane', 'abaśba+']"
V.06.018,"['', 'kutur :oisor', 'śś']"
V.06.019,['śaku s tiko']
V.06.020,['aŕkibeśa---+ḿi']
V.08.01,"['baiśe+', 'onos', '']"
V.04.53 = V.04.50,['esite']
V.04.54,"['tibi', 'uko', 'ir']"
V.04.55,"['koite', '']"
V.04.56,"['tu', 'be']"
V.04.57,['koba']
V.04.58,['tu']
V.06.087,['boba']
V.06.088,['bar']
V.06.089,['kar']
V.06.090,['na']
V.06.091,['ban']
V.06.092,['bo']
V.06.093,['la']
V.06.101,['tor']
V.06.094,['e']
V.06.095,['a']
V.06.096,['a']
V.06.097,['bal']
V.06.098,['lta']
V.06.099,['u']
V.07.09,"['biśśkatiteśk', '']"
V.07.10,['n']
V.03.01,['nauiba']
V.06.004,['i']
V.11.01,"['la', '+', '']"
V.12.01,['likine']
V.12.02,['ban']
V.12.03,['i']
V.12.04,['ḿba+']
V.12.05,['baś']
V.18.01,"['iltuŕka', 'iśkeasko', 'ebantibinke XXX', 'e+', '']"
CS.06.01,['tu']
CS.06.02,['bo']
CS.18.02,"['+loŕsin', 'ŕe:aŕikalerka', 'tibaś:eŕtois :a', 'lakúsekén', 'osintiba', 'túi']"
GI.21.01,['baika']
CS.07.01,['bastokitaŕ']
CS.23.01,['rabaḿ']
CS.13.02,['lti']
CS.13.01,['ḿbala']
CS.16.01,['neŕsetikantekiarḿi']
CS.21.01,"['', '+ŕkértalirbi', 'ŕeŕ sabaŕi', '+iŕan+-a', '+nśalirbiteŕ', 'nanabekáte biteŕ', 'ketanbale uś', 'ŕokétan', 'n', 'baŕ', '-++-taŕ', '-+i++bans', '+bi+ŕoketan']"
A.08.21,['śarg']
V.01.01,"['ḿskebabassba', 'baisetaśiltutaśeba--', 'nḿiseltarbanḿi', 'beŕbeinarieukia', '-ḿikatuekaśkoloite', 'kaŕieukiarseltarban', 'ḿibasibalkarḿbaŕḿi']"
V.05.01,['biuŕbe']
V.14.01,['batu']
CS.21.02,"['', 'bikirtibaśki:śalbi+-a', 'ra-+tin', 'birlako:irśtiŕ:ia', '+tin:ś ? akarna+']"
CS.17.01,['renḿi']
V.02.01,['ŕiarban']
CS.12.01,['iteŕlu']
V.16.01,"['', 'bekoiiltun:', 'soribeis:', 'uŕkaŕailur:', 'tueitikeiltun:', 'ikoŕiskeŕ:', 'otoiltiŕ:', 'selkiśkeŕ:', 'otokeiltiŕ:', 'iskeiltun:', 'selkiḿiltun:', 'IIIIIIIIIIIIIIIIIIIIII', 'baisetatie']"
V.09.01,['+si']
V.13.01,"['', 'labeisiltúniŕ:abirkákie', 'niŕ:koroiekérs:teŕkékineŕtin', 'iku:kauniste:anbośiltúnu', 'baiseltúnu:te:ukalkébars:belaikéberta', 'se:kaliśkase:ebeŕeiké:erkunin+', 'ŕeskinaké:uŕi:eŕkubete:ḿŕiŕkinu', 'ŕe', 'ka---ibaŕ', 'n---kas---kaires', 'nai---beŕbisitir', 'bieite+niŕ---atale---berta', 'e---ta', 'n---r---aŕ--ekaba+bete--ŕin', 'irsba---sankoseśuŕ:oe II', 'śalir:labeisiŕ:kébelkaiŕa:kiteibors:kul', 'eśbelauŕte:borariku:esasikua:etaŕe', 'e rtikétorkaliśali:bale:V-:oŕtine', 'r---śalir', 'n---ai---oter', 'orteŕire', 'rtertin---bon', 'itina---atobaŕ', 'bakaśan', 'staliŕkinu+i', 'u', 'r---ituibelauŕ', '+', 'kekuleśbelauŕte:satiŕa', 'lauŕbertontebitarśte:esatiŕan:', 'kortiaśalir:tiaiteku:selkiososinkas', 'teesan:VI:bekonkine:aŕesa:baśir:aŕeka', 'iŕan:lakeiśei:bieikate:ustariké:la', 'suŕ:atúlakéibors:lasiŕa:lau', 'ŕbertonar', 'kutelku']"
V.13.02,"['', 'beŕtekéŕariku', 'kalirbitarsteti+', 'lauŕbertonar:LI', 'kéltibeleśkakutitúku', 'lu:n:baśir:kuŕu+', 'r:bale:LΠ IIIII', 'lauŕbertonarikutitú', 'śorlakuḿiuneri', 'berter:kéltibeleśkas', 'anaterter:balelau+', 'ir:kalśoserer:i', '++rkalira', '+arta+', 'ilurka:ki:II:eIIIIII', 'ka:V:IIIV-:bekonteké', 'le:iluntorka:', 'ka:V-:bale:eteitor:', 'inka:eIIIII:aŕkisosinka', 'kisinka:balkéniuska:', 'kakutiaitetú:V-eIIII', 'ŕtibanben:śaltirste', '+akéiśei:tautinko:ŕś: +', 'rtiku:śaŕ:tabaiben:V-e', 'balkétaś:be', 'nkoka:akariśalir:VLI', 'tibeleśka:akariśalir VII', 'balkétaś']"
